31 1 4 Meeking right left z 1 c 0 1 space 0
31 2 3 Zigging left left space 0 space 0 0 space 0
31 3 1 Fooping left left space 0 space 0 1 space 0
31 4 2 Wugging left right space 0 space 0 0 space 0
