38 1 3 Zigging right left F12 0 z 1 1 c 0
38 2 1 Fooping left right z 0 c 1 1 z 0
38 3 2 Wugging right left z 1 c 0 1 z 1
38 4 4 Meeking right left z 1 c 0 1 z 1
